chng_type,Type,area_ha
loss,Estuary_3021,32.49597014
gain,Estuary_3023,64.73318647
loss,Estuary_3023,5542.413275
gain,Estuary_3033,4.840596937
loss,Estuary_3033,498.9905688
gain,Estuary_3034,42.01478385
loss,Estuary_3034,29.53927633
gain,Estuary_3035,367.9832426
loss,Estuary_3035,740.4363978
gain,Estuary_3039,36.46345929
loss,Estuary_3039,1381.563097
gain,Estuary_3040,106.5416311
loss,Estuary_3040,723.9642959
gain,Estuary_3070,0.485814994
loss,Estuary_3070,2.59213555
gain,Estuary_3072,6.256445879
loss,Estuary_3072,148.1421267
gain,Estuary_308,8.443455579
loss,Estuary_308,65.60998312
gain,Estuary_3082,350.7206192
loss,Estuary_3082,361.7883294
gain,Estuary_309,390.4240685
loss,Estuary_309,186.3910734
gain,Estuary_3112,94.28816141
loss,Estuary_3112,179.43751
gain,Estuary_3115,12.88052095
loss,Estuary_3115,115.5223517
gain,Estuary_3118,235.8729829
loss,Estuary_3118,752.8369154
gain,Estuary_3121,15.07110728
loss,Estuary_3121,24.76686897
gain,Estuary_3126,702.3778347
loss,Estuary_3126,1223.331979
gain,Estuary_3128,144.063418
loss,Estuary_3128,2016.902549
gain,Estuary_3139,119.2498874
loss,Estuary_3139,308.2290182
gain,Estuary_3154,124.5198752
loss,Estuary_3154,208.5726254
gain,Estuary_3164,51.35174688
loss,Estuary_3164,92.18376713
gain,Estuary_3184,28.20748913
loss,Estuary_3184,2358.713228
gain,Estuary_3191,99.32570139
loss,Estuary_3191,195.1643492
gain,Estuary_3196,105.0136545
loss,Estuary_3196,156.0075354
gain,Estuary_3202,2.977078088
loss,Estuary_3202,5.589617034
gain,Estuary_3207,435.3806895
loss,Estuary_3207,792.5802405
gain,Estuary_321,785.8350049
loss,Estuary_321,684.9713022
gain,Estuary_3212,191.4139462
loss,Estuary_3212,147.0620746
gain,Estuary_3214,10.72001225
loss,Estuary_3214,17.3308018
gain,Estuary_3242,142.1258639
loss,Estuary_3242,378.5114839
gain,Estuary_3261,26.48919254
loss,Estuary_3261,46.01993458
gain,Estuary_3269,114.1724108
loss,Estuary_3269,3084.310926
gain,Estuary_3276,20.08446895
loss,Estuary_3276,141.7666854
gain,Estuary_3285,52.34076692
loss,Estuary_3285,44.7413336
gain,Estuary_3288,3.953513449
loss,Estuary_3288,27.7950171
gain,Estuary_3293,61.19824277
loss,Estuary_3293,53.50409769
gain,Estuary_3294,0.486090514
loss,Estuary_3294,7.262502516
gain,Estuary_3303,33.22966868
loss,Estuary_3303,447.4962569
gain,Estuary_3307,107.7939297
loss,Estuary_3307,181.5273307
gain,Estuary_331,24.72058041
loss,Estuary_331,18.49893616
gain,Estuary_3317,77.7679468
loss,Estuary_3317,133.9890142
gain,Estuary_3321,4.96409038
loss,Estuary_3321,33.62898007
gain,Estuary_3327,35.24451165
loss,Estuary_3327,107.630861
gain,Estuary_3329,83.40196098
loss,Estuary_3329,211.2491682
gain,Estuary_3330,0.80285161
loss,Estuary_3330,2.490606361
